k,inertia,silhouette
2,491320.8133664714,0.4259738187041207
3,354088.5115751759,0.33302706786384184
4,300422.24673925375,0.2639336095388322
5,273501.6505786487,0.2193855279015615
6,251276.16862032213,0.22962459964819937
7,231249.98781070375,0.24228250545140992
8,217312.10678864073,0.23810582778833841
9,205501.21332741997,0.22464692611656606
10,195403.74646454246,0.22628968354767207
